Municipio,Domicilios_particulares,Moradores-em-domicílios-particulares-permanentes,Media-de-moradores
Abreu e Lima,28138,93892,3.34
Afogados da Ingazeira,10876,35018,3.22
Afrânio,4730,17558,3.71
Agrestina,6871,22645,3.3
Água Preta,7730,32427,4.19
Águas Belas,10814,39973,3.7
Alagoinha,4107,13758,3.35
Aliança,10291,37395,3.63
Altinho,7050,22308,3.16
Amaraji,6175,21884,3.54
Angelim,2998,10195,3.4
Araçoiaba,4823,18037,3.74
Araripina,20609,77193,3.75
Arcoverde,20150,68124,3.38
Barra de Guabiraba,3353,12766,3.81
Barreiros,10440,39662,3.8
Belém de Maria,3034,11191,3.69
Belém do São Francisco,5021,20164,4.02
Belo Jardim,22192,72273,3.26
Betânia,3310,11972,3.62
Bezerros,19286,58594,3.04
Bodocó,8913,35045,3.93
Bom Conselho,12649,45348,3.59
Bom Jardim,10922,37803,3.46
Bonito,10807,37413,3.46
Brejão,2434,8837,3.63
Brejinho,2131,7299,3.43
Brejo da Madre de Deus,13255,45092,3.4
Buenos Aires,3567,12530,3.51
Buíque,13121,51862,3.95
Cabo de Santo Agostinho,53402,184315,3.45
Cabrobó,8175,30775,3.76
Cachoeirinha,5870,18806,3.2
Caetés,6990,26540,3.8
Calçado,3119,11064,3.55
Calumbi,1649,5627,3.41
Camaragibe,42262,143779,3.4
Camocim de São Félix,5205,17026,3.27
Camutanga,2264,8156,3.6
Canhotinho,6633,23536,3.55
Capoeiras,5127,19486,3.8
Carnaíba,5380,18557,3.45
Carnaubeira da Penha,2615,11775,4.5
Carpina,21438,74729,3.49
Caruaru,96304,313823,3.26
Casinhas,3640,13761,3.78
Catende,9975,37174,3.73
Cedro,2756,10774,3.91
Chã de Alegria,3463,12384,3.58
Chã Grande,5914,20119,3.4
Condado,6743,24014,3.56
Correntes,4348,17247,3.97
Cortês,3324,12330,3.71
Cumaru,5086,17154,3.37
Cupira,7218,23343,3.23
Custódia,10130,33824,3.34
Dormentes,4652,16912,3.64
Escada,18124,63404,3.5
Exu,8180,31608,3.86
Feira Nova,6229,20548,3.3
Fernando de Noronha,585,2147,3.67
Ferreiros,3106,11407,3.67
Flores,6723,22108,3.29
Floresta,7207,29209,4.05
Frei Miguelinho,4485,14268,3.18
Gameleira,6920,27797,4.02
Garanhuns,37368,129066,3.45
Glória do Goitá,8259,28993,3.51
Goiana,21480,75524,3.52
Granito,1782,6803,3.82
Gravatá,23383,76146,3.26
Iati,4790,18329,3.83
Ibimirim,7007,26853,3.83
Ibirajuba,2292,7505,3.27
Igarassu,29677,101664,3.43
Iguaracy,3621,11773,3.25
Inajá,4161,19057,4.58
Ingazeira,1290,4462,3.46
Ipojuca,22016,80314,3.65
Ipubi,7217,28016,3.88
Itacuruba,1142,4368,3.82
Itaíba,7016,26213,3.74
Ilha de Itamaracá,5402,18173,3.36
Itambé,9457,35370,3.74
Itapetim,4473,13843,3.09
Itapissuma,6464,22832,3.53
Itaquitinga,4310,15674,3.64
Jaboatão dos Guararapes,197047,643704,3.27
Jaqueira,2927,11455,3.91
Jataúba,4641,15796,3.4
Jatobá,3831,13920,3.63
João Alfredo,9270,30728,3.31
Joaquim Nabuco,4174,15762,3.78
Jucati,2989,10585,3.54
Jupi,3973,13696,3.45
Jurema,4163,14478,3.48
Lagoa do Carro,4615,15979,3.46
Lagoa de Itaenga,5820,20633,3.55
Lagoa do Ouro,3400,12070,3.55
Lagoa dos Gatos,4667,15593,3.34
Lagoa Grande,6062,22698,3.74
Lajedo,11002,36516,3.32
Limoeiro,16402,54168,3.3
Macaparana,6666,23882,3.58
Machados,3590,13582,3.78
Manari,4145,18076,4.36
Maraial,3067,11889,3.88
Mirandiba,3586,14260,3.98
Moreno,16453,56573,3.44
Nazaré da Mata,8671,30690,3.54
Olinda,113238,377195,3.33
Orobó,6351,22829,3.59
Orocó,3386,13129,3.88
Ouricuri,16553,64238,3.88
Palmares,15396,58599,3.81
Palmeirina,2332,8178,3.51
Panelas,7277,25585,3.52
Paranatama,3120,10959,3.51
Parnamirim,5070,20167,3.98
Passira,8621,28580,3.32
Paudalho,14176,51238,3.61
Paulista,90635,299997,3.31
Pedra,5895,20855,3.54
Pesqueira,18414,62314,3.38
Petrolândia,8572,32362,3.78
Petrolina,80338,292508,3.64
Poção,3368,11215,3.33
Pombos,7213,23941,3.32
Primavera,3674,13231,3.6
Quipapá,6264,23962,3.83
Quixaba,1804,6739,3.74
Recife,470754,1530272,3.25
Riacho das Almas,6011,19120,3.18
Ribeirão,11942,44361,3.71
Rio Formoso,5479,22136,4.04
Sairé,3557,11204,3.15
Salgadinho,2278,9277,4.07
Salgueiro,15028,56050,3.73
Saloá,4494,15271,3.4
Sanharó,5984,21938,3.67
Santa Cruz,3607,13591,3.77
Santa Cruz da Baixa Verde,3335,11739,3.52
Santa Cruz do Capibaribe,25933,87306,3.37
Santa Filomena,3604,13356,3.71
Santa Maria da Boa Vista,9795,39393,4.02
Santa Maria do Cambucá,3781,12979,3.43
Santa Terezinha,3016,10981,3.64
São Benedito do Sul,3177,13893,4.37
São Bento do Una,14659,53161,3.63
São Caitano,10660,35111,3.29
São João,5809,21290,3.67
São Joaquim do Monte,6189,20433,3.3
São José da Coroa Grande,4895,18122,3.7
São José do Belmonte,8808,32585,3.7
São José do Egito,10041,31733,3.16
São Lourenço da Mata,30317,102793,3.39
São Vicente Ferrer,4642,16988,3.66
Serra Talhada,23026,79110,3.44
Serrita,4415,18323,4.15
Sertânia,9717,33721,3.47
Sirinhaém,10011,39830,3.98
Moreilândia,2942,11080,3.77
Solidão,1545,5733,3.71
Surubim,17513,58440,3.34
Tabira,7952,26371,3.32
Tacaimbó,3908,12711,3.25
Tacaratu,5690,21921,3.85
Tamandaré,5343,20679,3.87
Taquaritinga do Norte,7383,24788,3.36
Terezinha,1842,6722,3.65
Terra Nova,2421,9257,3.82
Timbaúba,15164,53699,3.54
Toritama,10185,35504,3.49
Tracunhaém,3648,13053,3.58
Trindade,6894,26087,3.78
Triunfo,4341,14964,3.45
Tupanatinga,6154,24389,3.96
Tuparetama,2587,7893,3.05
Venturosa,4512,16005,3.55
Verdejante,2416,9111,3.77
Vertente do Lério,2310,7873,3.41
Vertentes,5479,18179,3.32
Vicência,8064,30606,3.8
Vitória de Santo Antão,39446,129386,3.28
Xexéu,3666,14046,3.83
